node_id,zone_id,x_coord,y_coord,macro_node_id,macro_link_id,activity_type,is_boundary
0,,-112.1149177,33.6421616,0,,,
200,,-112.1158543,33.6350062,2,,,
300,,-112.1155221,33.6372677,3,,,
500,,-112.1159394,33.6421105,5,,,
600,,-112.2319403,33.655456,6,,,
276300,,-112.0826805,33.640296,2763,,,
276400,,-112.0831229,33.6691769,2764,,,
1200,,-112.0842619,33.6691702,12,,,
1300,,-112.075006,33.654768,13,,,
1400,,-112.0786066,33.6547238,14,,,
1401,,-112.0786047,33.6546291,14,,,
1301,,-112.0750043,33.6546733,13,,,
1500,,-111.9751777,33.6686609,15,,,
1600,,-111.9714857,33.6682373,16,,,
1601,,-111.9714651,33.668298,16,,,
1501,,-111.9751793,33.6687241,15,,,
1800,,-112.1253955,33.668848,18,,,
2200,,-112.1164982,33.6381289,22,,,
276500,,-112.113113,33.6620183,2765,,,
2600,,-112.1147698,33.6555112,26,,,
2800,,-112.1150616,33.6516485,28,,,
3000,,-112.1143266,33.6522861,30,,,
3100,,-112.1143959,33.6522911,31,,,
3300,,-112.1122441,33.6744149,33,,,
3500,,-112.1141082,33.6658667,35,,,
3600,,-112.1086361,33.6620999,36,,,
3700,,-112.108574,33.6628907,37,,,
3701,,-112.1086685,33.6628548,37,,,
3601,,-112.1086949,33.6621826,36,,,
3800,,-112.0000011,33.6644904,38,,,
3900,,-111.9999728,33.6641841,39,,,
4100,,-111.9956568,33.6727684,41,,,
4300,,-111.9777616,33.6726482,43,,,
4301,,-111.9776155,33.67278,43,,,
4400,,-111.9775681,33.6728441,44,,,
4700,,-111.9772225,33.6718508,47,,,
4900,,-111.9770708,33.67328,49,,,
4901,,-111.9772234,33.6731528,49,,,
5000,,-111.9772482,33.6731287,50,,,
5300,,-111.977602,33.6739981,53,,,
5400,,-111.9598142,33.6671508,54,,,
5501,,-111.9594422,33.6670088,55,,,
5600,,-111.9591672,33.6669038,56,,,
5700,,-111.9603212,33.6686288,57,,,
6000,,-112.0288056,33.6730625,60,,,
6200,,-112.0308435,33.6724888,62,,,
6400,,-112.0309509,33.6718513,64,,,
6500,,-112.0308195,33.672178,65,,,
6700,,-112.0312171,33.6727251,67,,,
7000,,-112.1127437,33.6675484,70,,,
7200,,-112.1266182,33.6685326,72,,,
7600,,-112.114177,33.667088,76,,,
7800,,-112.1141299,33.6709881,78,,,
8200,,-112.2230471,33.6671862,82,,,
8400,,-112.0342273,33.671875,84,,,
8600,,-112.0341905,33.6711096,86,,,
8800,,-112.0311745,33.6720803,88,,,
8801,,-112.0310873,33.6721829,88,,,
8900,,-112.0310409,33.6722692,89,,,
9100,,-112.0309519,33.67213,91,,,
9101,,-112.031005,33.6722479,91,,,
8901,,-112.031021,33.6722702,89,,,
8902,,-112.0310464,33.6722991,89,,,
9200,,-112.0310775,33.6723282,92,,,
9201,,-112.0311725,33.6724262,92,,,
9400,,-112.0618338,33.6693494,94,,,
9600,,-112.0629031,33.6686261,96,,,
9800,,-112.0698384,33.669226,98,,,
10000,,-112.0708611,33.6685861,100,,,
10200,,-112.0799299,33.6683427,102,,,
10400,,-112.0787959,33.6690759,104,,,
10500,,-112.0858826,33.6691597,105,,,
10700,,-112.0855812,33.6684346,107,,,
10900,,-112.0975381,33.6700459,109,,,
11100,,-112.0966179,33.6692783,111,,,
11300,,-112.1127659,33.6681923,113,,,
11500,,-112.1214805,33.6691622,115,,,
11900,,-112.1373136,33.6699928,119,,,
12100,,-112.1373779,33.6692113,121,,,
12300,,-112.1651089,33.6693414,123,,,
12400,,-112.1651008,33.6687083,124,,,
12600,,-112.1734069,33.6687033,126,,,
12900,,-112.1724593,33.6679779,129,,,
13100,,-112.1844875,33.6687079,131,,,
13200,,-112.1829477,33.6679909,132,,,
13500,,-112.1884613,33.6686636,135,,,
13700,,-112.1894861,33.6677145,137,,,
13900,,-112.2004318,33.6685135,139,,,
14100,,-112.2012103,33.6675786,141,,,
14500,,-112.2055144,33.667407,145,,,
14700,,-112.2179531,33.6682489,147,,,
14900,,-112.2180989,33.6673644,149,,,
276600,,-112.1145572,33.6617669,2766,,,
15200,,-112.1145581,33.6615338,152,,,
15300,,-112.1132653,33.6622174,153,,,
15400,,-112.1132461,33.663651,154,,,
276700,,-112.1085263,33.6694943,2767,,,
15600,,-112.1085767,33.670258,156,,,
15800,,-112.1085192,33.6683904,158,,,
16300,,-112.1140541,33.6622898,163,,,
16500,,-112.1131542,33.6695911,165,,,
3402,,-112.1136299,33.6677637,34,,,
16700,,-112.1131171,33.6700477,167,,,
3201,,-112.1130228,33.6711348,32,,,
16601,,-112.1135228,33.6692548,166,,,
16801,,-112.113492,33.6696388,168,,,
17300,,-112.1066316,33.6684418,173,,,
17500,,-112.1175679,33.6692946,175,,,
17801,,-112.1149118,33.6673321,178,,,
18000,,-112.1171996,33.6691422,180,,,
18100,,-112.1171581,33.6658871,181,,,
18200,,-112.1171659,33.6661175,182,,,
17601,,-112.1175847,33.6693558,176,,,
18300,,-112.1143716,33.6653793,183,,,
18400,,-112.1145561,33.6626398,184,,,
18600,,-112.1134576,33.6620176,186,,,
276601,,-112.1146742,33.6620234,2766,,,
18700,,-112.115014,33.6620171,187,,,
18800,,-112.1132918,33.6657967,188,,,
16001,,-112.1132437,33.6677427,160,,,
17001,,-112.1138141,33.6707322,170,,,
18900,,-112.1263091,33.6688539,189,,,
19100,,-112.1266113,33.6689277,191,,,
19300,,-112.1253857,33.6686179,193,,,
19400,,-112.1157304,33.6686308,194,,,
19500,,-112.1253772,33.6684565,195,,,
19600,,-112.1238637,33.6684138,196,,,
19800,,-112.1148488,33.6542816,198,,,
2801,,-112.1150546,33.6516482,28,,,
20200,,-112.1146873,33.6542835,202,,,
20400,,-112.1143381,33.6551461,204,,,
16201,,-112.1133087,33.6677366,162,,,
20601,,-112.1141841,33.6551465,206,,,
21000,,-112.0008204,33.6712721,210,,,
21100,,-112.0027632,33.6725567,211,,,
21200,,-112.0078535,33.6730057,212,,,
21300,,-111.9988328,33.6712534,213,,,
21400,,-112.0000869,33.6657819,214,,,
21600,,-111.9998076,33.6697205,216,,,
21501,,-111.9996075,33.6691153,215,,,
22200,,-111.999551,33.664129,222,,,
22600,,-112.0134328,33.6728942,226,,,
22800,,-112.0092637,33.6727372,228,,,
23000,,-112.0086342,33.6729831,230,,,
22501,,-112.0106254,33.6729328,225,,,
23200,,-112.0088362,33.6729396,232,,,
23101,,-112.0094121,33.6729425,231,,,
23300,,-112.0084609,33.6727335,233,,,
23500,,-112.0086019,33.6729369,235,,,
23700,,-112.0051633,33.6722514,237,,,
23800,,-112.0077671,33.6727107,238,,,
23900,,-112.0043868,33.6722998,239,,,
24300,,-111.9767186,33.6728633,243,,,
24400,,-111.9705019,33.6722552,244,,,
24500,,-111.9660194,33.6705405,245,,,
24001,,-111.9781817,33.6730842,240,,,
25000,,-112.1158063,33.6395761,250,,,
25100,,-112.1160578,33.6363752,251,,,
25200,,-112.1161591,33.635062,252,,,
25400,,-112.1154991,33.640215,254,,,
20301,,-112.1144026,33.6542695,203,,,
25700,,-112.2319594,33.6528357,257,,,
25900,,-112.168937,33.6682995,259,,,
26001,,-112.1696776,33.6684952,260,,,
26300,,-112.1404982,33.669748,263,,,
26201,,-112.1349376,33.6693655,262,,,
26600,,-112.1342852,33.668978,266,,,
7101,,-112.1283551,33.6686284,71,,,
7901,,-112.1067576,33.6688529,79,,,
26801,,-112.1002882,33.6694528,268,,,
27000,,-112.1058244,33.6691499,270,,,
27200,,-112.0994571,33.6692973,272,,,
27500,,-112.0994525,33.6693382,275,,,
27700,,-112.0661564,33.6688224,277,,,
26901,,-112.0993548,33.6695774,269,,,
27900,,-112.0710547,33.6689908,279,,,
28100,,-112.0708615,33.6691529,281,,,
28200,,-112.0708948,33.6691507,282,,,
28201,,-112.071058,33.6691395,282,,,
28500,,-112.0703668,33.6683906,285,,,
28700,,-112.0497937,33.6685525,287,,,
28800,,-112.070324,33.6685515,288,,,
28900,,-112.0686523,33.6684344,289,,,
27601,,-112.0701673,33.6687785,276,,,
29200,,-112.0741954,33.669225,292,,,
29101,,-112.0709264,33.6693232,291,,,
29500,,-112.082803,33.6690462,295,,,
276401,,-112.0827964,33.6692965,2764,,,
29600,,-112.0828027,33.6696816,296,,,
27801,,-112.0701848,33.6690017,278,,,
29701,,-112.0661604,33.6690483,297,,,
29900,,-112.0650454,33.6688437,299,,,
30000,,-112.0577193,33.6689822,300,,,
30100,,-112.0487045,33.6689131,301,,,
9301,,-112.0584313,33.6692061,93,,,
30201,,-112.0489322,33.6691345,302,,,
30400,,-112.0481247,33.6688999,304,,,
8501,,-112.0384995,33.6698119,85,,,
30500,,-112.0386118,33.6700155,305,,,
30301,,-112.0481315,33.6691255,303,,,
30700,,-112.0315183,33.6722882,307,,,
30900,,-112.0304717,33.672262,309,,,
22701,,-112.0104751,33.6727217,227,,,
30601,,-112.0304365,33.6724975,306,,,
31200,,-112.0140185,33.6728854,312,,,
31101,,-112.0134338,33.672683,311,,,
31400,,-112.0032815,33.6406697,314,,,
31500,,-112.0033002,33.6406762,315,,,
31501,,-112.0034596,33.6407258,315,,,
31800,,-111.9996853,33.6552126,318,,,
31900,,-112.0024323,33.6406116,319,,,
32300,,-112.0031018,33.638756,323,,,
32600,,-112.0029306,33.6421388,326,,,
32800,,-112.0004386,33.655117,328,,,
32900,,-111.9997956,33.6551869,329,,,
33700,,-111.9997708,33.6540027,337,,,
33800,,-112.0004067,33.6553828,338,,,
34000,,-111.9997281,33.6644264,340,,,
33901,,-111.9997084,33.664123,339,,,
34201,,-111.9997813,33.6632016,342,,,
34101,,-111.9996756,33.663139,341,,,
34600,,-111.9932535,33.6725787,346,,,
33502,,-111.9995072,33.6558735,335,,,
34800,,-111.9995296,33.6581648,348,,,
35000,,-112.0000126,33.65502,350,,,
35100,,-112.0002378,33.6552693,351,,,
35101,,-111.9999966,33.6552144,351,,,
35500,,-112.0026704,33.6404405,355,,,
35501,,-112.0027627,33.6405329,355,,,
35600,,-112.0028145,33.6405808,356,,,
35800,,-112.0031674,33.6408867,358,,,
35801,,-112.003075,33.6408011,358,,,
35601,,-112.0029945,33.6407362,356,,,
35900,,-112.0021441,33.6413334,359,,,
36000,,-112.0014728,33.6438375,360,,,
36100,,-112.0033243,33.64048,361,,,
36200,,-112.0036387,33.6401521,362,,,
1402,,-112.0788652,33.6547207,14,,,
36300,,-112.0790262,33.6547191,363,,,
36301,,-112.0790248,33.6546244,363,,,
1403,,-112.0788638,33.654626,14,,,
36400,,-112.1010953,33.6547812,364,,,
36500,,-112.1076865,33.6547647,365,,,
36501,,-112.1077077,33.6546542,365,,,
36401,,-112.1010733,33.6546708,364,,,
36600,,-111.9493284,33.6634622,366,,,
36700,,-111.9536206,33.6650099,367,,,
36900,,-111.945328,33.6620005,369,,,
276800,,-112.0654341,33.640506,2768,,,
37100,,-112.0654399,33.6410502,371,,,
37300,,-112.0654267,33.6372507,373,,,
6701,,-112.0311003,33.6729529,67,,,
6702,,-112.0310975,33.6726463,67,,,
37500,,-112.0310946,33.6725323,375,,,
9202,,-112.0310937,33.6724678,92,,,
9203,,-112.0310937,33.6722695,92,,,
8802,,-112.0310944,33.6722386,88,,,
8803,,-112.0310905,33.6720403,88,,,
37601,,-112.0310892,33.6720102,376,,,
37700,,-112.0310901,33.671951,377,,,
37701,,-112.0310903,33.6716985,377,,,
37800,,-112.0310849,33.6712881,378,,,
37900,,-112.030929,33.6532187,379,,,
38000,,-112.0309247,33.6484379,380,,,
38001,,-112.0308114,33.6484381,380,,,
37901,,-112.0308157,33.6532188,379,,,
38002,,-112.0309413,33.6482023,380,,,
38100,,-112.0309386,33.6478929,381,,,
38101,,-112.0308064,33.6478757,381,,,
38003,,-112.0308094,33.6482225,380,,,
38200,,-112.0263886,33.6550019,382,,,
38300,,-112.0262634,33.655003,383,,,
38301,,-112.0262432,33.6551136,383,,,
38201,,-112.0264116,33.6551122,382,,,
38400,,-112.018855,33.6550524,384,,,
38500,,-112.0150957,33.6550672,385,,,
38501,,-112.0150967,33.6551619,385,,,
38401,,-112.0188553,33.6551471,384,,,
38600,,-111.9586083,33.6527557,386,,,
38700,,-111.9585637,33.6523281,387,,,
38701,,-111.9584505,33.6523305,387,,,
38601,,-111.9584964,33.6527705,386,,,
38702,,-111.9585611,33.6521131,387,,,
38800,,-111.9587003,33.6512878,388,,,
38801,,-111.9585899,33.6512668,388,,,
38703,,-111.9584479,33.6521126,387,,,
38900,,-112.0998001,33.6708367,389,,,
39000,,-112.0997989,33.6709375,390,,,
39001,,-112.0999121,33.6709384,390,,,
38901,,-112.0999133,33.6708376,389,,,
276900,,-112.0999325,33.670087,2769,,,
39300,,-112.2200724,33.635475,393,,,
39400,,-112.2200909,33.6357769,394,,,
39401,,-112.220204,33.635772,394,,,
39301,,-112.2201855,33.6354701,393,,,
39600,,-112.1921846,33.6543649,396,,,
39700,,-112.1950484,33.6543545,397,,,
39800,,-112.1964131,33.6542654,398,,,
40000,,-112.141221,33.6694975,400,,,
12201,,-112.1624324,33.6695705,122,,,
40300,,-112.1519945,33.6698366,403,,,
26101,,-112.1689628,33.6685247,261,,,
12502,,-112.1612405,33.6693348,125,,,
39901,,-112.1517092,33.6693983,399,,,
40500,,-112.1654747,33.6694515,405,,,
40600,,-112.0966074,33.669144,406,,,
40800,,-112.1408928,33.6692334,408,,,
41000,,-112.1406658,33.6695045,410,,,
41100,,-112.1519616,33.6650365,411,,,
41200,,-112.1519617,33.6650922,412,,,
41201,,-112.1520749,33.6650921,412,,,
41101,,-112.1520748,33.6650364,411,,,
41400,,-112.1406596,33.6701124,414,,,
40201,,-112.15104,33.6698652,402,,,
41600,,-112.1408417,33.6698404,416,,,
41700,,-112.1409086,33.6697404,417,,,
26501,,-112.1349772,33.6691245,265,,,
1701,,-112.1133511,33.6688513,17,,,
27401,,-112.1002656,33.6692404,274,,,
42000,,-112.1522229,33.6691032,420,,,
42100,,-112.202891,33.6435694,421,,,
42200,,-112.2028937,33.6438862,422,,,
42201,,-112.2030256,33.6438674,422,,,
42101,,-112.2030233,33.6435866,421,,,
42400,,-111.9595178,33.66748,424,,,
24601,,-111.9767058,33.673096,246,,,
42700,,-111.9605887,33.668247,427,,,
42800,,-111.9601717,33.6705338,428,,,
42900,,-111.9601832,33.6702694,429,,,
43000,,-111.9602052,33.6697108,430,,,
36801,,-111.9482256,33.6629137,368,,,
43201,,-111.9934555,33.672469,432,,,
43500,,-111.9996357,33.6697594,435,,,
43600,,-111.9999232,33.6657427,436,,,
43800,,-112.21363,33.6383079,438,,,
43900,,-112.2144644,33.6383174,439,,,
277000,,-112.203113,33.6686651,2770,,,
44001,,-112.2031132,33.6686931,440,,,
44400,,-112.1058586,33.6400806,444,,,
44600,,-112.0844892,33.6402793,446,,,
44700,,-112.112114,33.6400022,447,,,
44800,,-112.1126649,33.6399101,448,,,
44401,,-112.1057136,33.6400934,444,,,
276301,,-112.082703,33.6401346,2763,,,
45100,,-112.081101,33.6401403,451,,,
45200,,-112.111042,33.6400522,452,,,
45300,,-112.1110733,33.6400517,453,,,
44701,,-112.1118871,33.6400387,447,,,
44702,,-112.1121889,33.6400339,447,,,
45400,,-112.112545,33.6400282,454,,,
45401,,-112.1128469,33.6400234,454,,,
45500,,-112.1130059,33.6400209,455,,,
277100,,-112.1171499,33.6399622,2771,,,
45900,,-112.0841693,33.6401416,459,,,
46100,,-112.11301,33.6397848,461,,,
46300,,-112.2305682,33.6661989,463,,,
46400,,-112.2320816,33.6668536,464,,,
46201,,-112.2314148,33.6665711,462,,,
19201,,-112.1266029,33.6686236,192,,,
24801,,-112.1283544,33.6688624,248,,,
26401,,-112.1342618,33.6692196,264,,,
22402,,-111.9999054,33.6618375,224,,,
46500,,-111.9999353,33.6600897,465,,,
22101,,-111.9995676,33.6631379,221,,,
46600,,-111.9996323,33.6602858,466,,,
34402,,-111.9995988,33.6618564,344,,,
47100,,-111.9892257,33.6730367,471,,,
47200,,-111.9874207,33.6727959,472,,,
47300,,-111.9854555,33.6728085,473,,,
47900,,-112.2296727,33.6659086,479,,,
48000,,-112.2321137,33.6529778,480,,,
48100,,-112.2319678,33.6529779,481,,,
48200,,-112.2318309,33.6530289,482,,,
48300,,-112.2315692,33.6525912,483,,,
48400,,-112.2311023,33.6526123,484,,,
48600,,-112.180063,33.6544971,486,,,
48601,,-112.180365,33.6544961,486,,,
48700,,-112.1815391,33.6544986,487,,,
48900,,-112.1910256,33.6542689,489,,,
49000,,-112.1899319,33.6542696,490,,,
49100,,-112.1520945,33.6688596,491,,,
49300,,-112.1520817,33.6679684,493,,,
49500,,-112.1782759,33.6684625,495,,,
13301,,-112.1789031,33.6682349,133,,,
12801,,-112.1774828,33.6682407,128,,,
25801,,-112.1696881,33.6682673,258,,,
47401,,-112.2180815,33.6679551,474,,,
49700,,-112.1724972,33.6678521,497,,,
49601,,-112.1781292,33.6678956,496,,,
50000,,-112.1780864,33.6689882,500,,,
50200,,-112.2048529,33.6684641,502,,,
50400,,-112.2313562,33.6666652,504,,,
277001,,-112.2029386,33.6686493,2770,,,
50600,,-112.2029401,33.6687025,506,,,
50700,,-112.2029479,33.6689199,507,,,
50900,,-112.2029541,33.6706804,509,,,
51000,,-112.2029589,33.6714627,510,,,
51100,,-112.1166472,33.641345,511,,,
51200,,-112.1170296,33.6409769,512,,,
51300,,-112.1167606,33.6383672,513,,,
51500,,-112.1144222,33.6415434,515,,,
277200,,-112.1139948,33.6396924,2772,,,
51900,,-112.1133736,33.6639469,519,,,
52100,,-112.113629,33.6722558,521,,,
52200,,-112.1135282,33.6718565,522,,,
52201,,-112.1135067,33.6717134,522,,,
52500,,-112.1163517,33.6349721,525,,,
52700,,-111.9773396,33.6650617,527,,,
6501,,-112.0309029,33.6722793,65,,,
6201,,-112.0309074,33.6723769,62,,,
6202,,-112.0309062,33.6725213,62,,,
52801,,-112.0309056,33.6725593,528,,,
52900,,-112.030909,33.6726574,529,,,
52901,,-112.0309102,33.6729098,529,,,
53000,,-112.0309173,33.673241,530,,,
53200,,-112.0309445,33.6741158,532,,,
53300,,-112.0342678,33.6719645,533,,,
53500,,-112.2031119,33.6675569,535,,,
277002,,-112.202932,33.6684149,2770,,,
53601,,-112.2029309,33.6683676,536,,,
22301,,-111.9999177,33.6632407,223,,,
53900,,-111.9800304,33.6728502,539,,,
54100,,-112.165269,33.66854,541,,,
54300,,-112.1519065,33.6691416,543,,,
37702,,-112.0312392,33.6717965,377,,,
277300,,-112.1690606,33.6689908,2773,,,
277400,,-112.1695702,33.6678227,2774,,,
54900,,-112.1714926,33.6689833,549,,,
21801,,-111.999472,33.6656545,218,,,
34301,,-111.9997981,33.6641611,343,,,
55100,,-111.9995492,33.6656693,551,,,
55200,,-111.9998179,33.6657133,552,,,
55001,,-111.9998123,33.6644555,550,,,
36201,,-112.0037506,33.6399983,362,,,
55300,,-112.0040699,33.639395,553,,,
43401,,-111.9995673,33.6696954,434,,,
55400,,-112.07403,33.6401782,554,,,
55500,,-112.0733046,33.6401802,555,,,
55700,,-112.1164487,33.634972,557,,,
55601,,-112.116368,33.6360997,556,,,
55900,,-112.0531321,33.6362793,559,,,
56000,,-112.0508176,33.6363006,560,,,
56100,,-112.2157841,33.6381669,561,,,
56200,,-112.2137889,33.6381982,562,,,
56300,,-112.2127863,33.6382037,563,,,
277500,,-112.2026946,33.6382125,2775,,,
56500,,-112.2018883,33.6382472,565,,,
56600,,-112.082905,33.6439701,566,,,
