link_id,from_node_id,to_node_id,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,geometry,macro_link_id,macro_node_id,movement_id,mvmt_txt_id,ctrl_type,allowed_uses
21,3701,3601,1,74.83,2,1600,60,secondary,4,"LINESTRING (-112.1086685 33.6628548, -112.1086697 33.6622770, -112.1086795 33.6622193, -112.1086949 33.6621826)",22,,,,,auto
22,3800,3900,1,34.06,4,2300,104,motorway,1,"LINESTRING (-112.0000011 33.6644904, -111.9999900 33.6643697, -111.9999728 33.6641841)",23,,,,,auto
23,4001,4100,1,416.68,2,2300,104,motorway,1,"LINESTRING (-111.9911775 33.6730595, -111.9912443 33.6730582, -111.9921093 33.6730295, -111.9932841 33.6729558, -111.9950168 33.6728420, -111.9953521 33.6728108, -111.9956568 33.6727684)",24,,,,,auto
24,4202,4300,1,65.73,2,2300,120,motorway,1,"LINESTRING (-111.9784281 33.6724793, -111.9780490 33.6725251, -111.9779224 33.6725613, -111.9777915 33.6726251, -111.9777616 33.6726482)",25,,,,,auto
25,4301,4400,1,8.36,2,2300,120,motorway,1,"LINESTRING (-111.9776155 33.6727800, -111.9775681 33.6728441)",26,,,,,auto
26,4202,4501,1,133.56,2,2300,120,motorway,1,"LINESTRING (-111.9784281 33.6724793, -111.9780104 33.6724236, -111.9778278 33.6724141, -111.9777569 33.6724028, -111.9776891 33.6723820, -111.9776474 33.6723559, -111.9776004 33.6722951, -111.9775712 33.6722361, -111.9775254 33.6718405)",27,,,,,auto
27,4601,4700,1,23.24,1,2300,120,motorway,1,"LINESTRING (-111.9773125 33.6716552, -111.9772225 33.6718508)",28,,,,,auto
28,4802,4900,1,44.86,2,2300,120,motorway,1,"LINESTRING (-111.9766259 33.6734262, -111.9768558 33.6733826, -111.9769864 33.6733287, -111.9770708 33.6732800)",29,,,,,auto
29,4901,5000,1,3.53,2,2300,120,motorway,1,"LINESTRING (-111.9772234 33.6731528, -111.9772482 33.6731287)",30,,,,,auto
30,4802,5102,1,76.08,2,2300,120,motorway,1,"LINESTRING (-111.9766259 33.6734262, -111.9768139 33.6734692, -111.9769828 33.6734651, -111.9770232 33.6734665, -111.9770599 33.6734730, -111.9770869 33.6734783, -111.9771494 33.6735103, -111.9771801 33.6735377, -111.9772052 33.6735640, -111.9772386 33.6736094, -111.9772971 33.6737055)",31,,,,,auto
31,5202,5300,1,58.08,1,2300,120,motorway,1,"LINESTRING (-111.9775147 33.6745164, -111.9775882 33.6741457, -111.9776020 33.6739981)",32,,,,,auto
32,5400,5501,1,37.91,2,2300,120,motorway,1,"LINESTRING (-111.9598142 33.6671508, -111.9594422 33.6670088)",33,,,,,auto
33,5501,5600,1,28.03,2,2300,120,motorway,1,"LINESTRING (-111.9594422 33.6670088, -111.9591672 33.6669038)",34,,,,,auto
34,5700,5801,1,47.61,2,2300,120,motorway,1,"LINESTRING (-111.9603212 33.6686288, -111.9603249 33.6686309, -111.9607841 33.6688147)",35,,,,,auto
35,5902,6000,1,442.54,2,2300,72,motorway,1,"LINESTRING (-112.0240518 33.6728389, -112.0245438 33.6728947, -112.0249778 33.6729393, -112.0250893 33.6729517, -112.0261381 33.6730397, -112.0271121 33.6731114, -112.0279153 33.6731155, -112.0288056 33.6730625)",36,,,,,auto
36,6102,6200,1,48.1,2,2300,72,motorway,1,"LINESTRING (-112.0305102 33.6728126, -112.0306830 33.6726920, -112.0307368 33.6726468, -112.0307747 33.6726010, -112.0308154 33.6725322, -112.0308435 33.6724888)",37,,,,,auto
37,6301,6400,1,3.1,2,2300,72,motorway,1,"LINESTRING (-112.0309836 33.6718452, -112.0309509 33.6718513)",38,,,,,auto
38,6500,6602,1,75.81,2,2300,72,motorway,1,"LINESTRING (-112.0308195 33.6721780, -112.0307691 33.6721272, -112.0306855 33.6720776, -112.0305745 33.6720360, -112.0303945 33.6720076, -112.0300663 33.6720475)",39,,,,,auto
39,6700,6802,1,51.64,2,2300,72,motorway,1,"LINESTRING (-112.0312171 33.6727251, -112.0312313 33.6727193, -112.0314265 33.6726537, -112.0317450 33.6725788)",40,,,,,auto
40,6902,7000,1,212.43,2,2300,72,motorway,1,"LINESTRING (-112.1129930 33.6656465, -112.1129386 33.6659659, -112.1128817 33.6663198, -112.1128270 33.6666168, -112.1128053 33.6667412, -112.1127836 33.6668761, -112.1127633 33.6670318, -112.1127493 33.6671745, -112.1127377 33.6673713, -112.1127437 33.6675484)",41,,,,,auto
41,7101,7200,1,161.38,2,2300,120,motorway,1,"LINESTRING (-112.1283551 33.6686284, -112.1277949 33.6686056, -112.1272358 33.6685750, -112.1266182 33.6685326)",42,,,,,auto
42,7302,7402,1,974.1,2,2300,72,motorway,1,"LINESTRING (-112.1183071 33.6683088, -112.1180031 33.6683566, -112.1162457 33.6683083, -112.1156005 33.6683020, -112.1152627 33.6683056, -112.1149770 33.6683273, -112.1146959 33.6683723, -112.1143767 33.6684491, -112.1140796 33.6685349, -112.1138226 33.6686644, -112.1136196 33.6687880, -112.1133826 33.6689644, -112.1131916 33.6691442, -112.1129776 33.6693846, -112.1128776 33.6695171, -112.1128196 33.6696207, -112.1127096 33.6698466, -112.1126556 33.6699871, -112.1126186 33.6701339, -112.1125896 33.6702906, -112.1125716 33.6703954, -112.1125596 33.6705163, -112.1125556 33.6706724, -112.1125566 33.6709368, -112.1125808 33.6732667)",43,,,,,auto
43,7502,7600,1,675.75,2,2300,72,motorway,1,"LINESTRING (-112.1081768 33.6692123, -112.1084684 33.6692117, -112.1089924 33.6692146, -112.1109147 33.6692651, -112.1111478 33.6692663, -112.1113306 33.6692565, -112.1115382 33.6692340, -112.1117736 33.6692019, -112.1120484 33.6691361, -112.1123394 33.6690451, -112.1125624 33.6689570, -112.1126304 33.6689259, -112.1127934 33.6688445, -112.1129999 33.6687058, -112.1131539 33.6685940, -112.1132862 33.6684897, -112.1134160 33.6683769, -112.1135239 33.6682615, -112.1136430 33.6681280, -112.1137363 33.6680040, -112.1138426 33.6678540, -112.1139165 33.6677352, -112.1139794 33.6676197, -112.1140474 33.6674869, -112.1141104 33.6673342, -112.1141418 33.6672222, -112.1141770 33.6670880)",44,,,,,auto
44,7702,7800,1,149.05,1,2300,120,motorway,1,"LINESTRING (-112.1137222 33.6722857, -112.1138451 33.6718873, -112.1139439 33.6714726, -112.1139768 33.6713519, -112.1140109 33.6712481, -112.1140664 33.6711110, -112.1141299 33.6709881)",45,,,,,auto
45,7901,8001,1,617.42,1,2300,72,motorway,1,"LINESTRING (-112.1067576 33.6688529, -112.1073379 33.6689166, -112.1075472 33.6689336, -112.1076665 33.6689421, -112.1083364 33.6689759, -112.1090601 33.6690166, -112.1093252 33.6690377, -112.1095754 33.6690610, -112.1097955 33.6690942, -112.1099235 33.6691182, -112.1100491 33.6691443, -112.1103271 33.6691993, -112.1106579 33.6692768, -112.1110832 33.6693761, -112.1114093 33.6694493, -112.1117766 33.6695324, -112.1120211 33.6695840, -112.1122841 33.6696301, -112.1126209 33.6696792, -112.1128920 33.6697356, -112.1132965 33.6698133)",46,,,,,auto
46,8101,8200,1,325.97,1,2300,120,motorway,1,"LINESTRING (-112.2264020 33.6663382, -112.2254878 33.6666488, -112.2252399 33.6667249, -112.2250194 33.6667892, -112.2245956 33.6668986, -112.2243981 33.6669474, -112.2241502 33.6670063, -112.2238493 33.6670671, -112.2235714 33.6671145, -112.2232822 33.6671597, -112.2230471 33.6671862)",47,,,,,auto
47,8302,8400,1,130.52,2,2300,72,motorway,1,"LINESTRING (-112.0329162 33.6723034, -112.0332738 33.6721780, -112.0337941 33.6720192, -112.0342273 33.6718750)",48,,,,,auto
48,8501,8600,1,424.91,1,2300,72,motorway,1,"LINESTRING (-112.0384995 33.6698119, -112.0381759 33.6698720, -112.0378699 33.6699788, -112.0374462 33.6701216, -112.0374155 33.6701321, -112.0369773 33.6702649, -112.0364927 33.6704126, -112.0354641 33.6707133, -112.0341905 33.6711096)",49,,,,,auto
49,8702,8800,1,95.52,2,2300,72,motorway,1,"LINESTRING (-112.0320500 33.6716538, -112.0315606 33.6718182, -112.0314287 33.6718734, -112.0313388 33.6719391, -112.0312660 33.6719953, -112.0312127 33.6720404, -112.0311745 33.6720803)",50,,,,,auto
50,8801,8900,1,10.49,2,2300,72,motorway,1,"LINESTRING (-112.0310873 33.6721829, -112.0310409 33.6722692)",51,,,,,auto
51,9001,9100,1,15.17,2,2300,72,motorway,1,"LINESTRING (-112.0308990 33.6720006, -112.0309519 33.6721300)",52,,,,,auto
52,9101,8901,1,2.88,2,2300,72,motorway,1,"LINESTRING (-112.0310050 33.6722479, -112.0310210 33.6722702)",53,,,,,auto
53,8902,9200,1,4.32,2,2300,72,motorway,1,"LINESTRING (-112.0310464 33.6722991, -112.0310775 33.6723282)",54,,,,,auto
54,9201,6802,1,58.43,2,2300,72,motorway,1,"LINESTRING (-112.0311725 33.6724262, -112.0311896 33.6724417, -112.0312486 33.6724906, -112.0313095 33.6725265, -112.0313696 33.6725572, -112.0314512 33.6725699, -112.0315434 33.6725731, -112.0317450 33.6725788)",55,,,,,auto
55,9301,9400,1,315.83,1,2300,120,motorway,1,"LINESTRING (-112.0584313 33.6692061, -112.0591146 33.6692400, -112.0598963 33.6692787, -112.0618338 33.6693494)",56,,,,,auto
56,9501,9600,1,116.96,2,2300,120,motorway,1,"LINESTRING (-112.0641412 33.6684273, -112.0636795 33.6685209, -112.0630837 33.6686044, -112.0629031 33.6686261)",57,,,,,auto
57,9701,9800,1,157.9,2,2300,120,motorway,1,"LINESTRING (-112.0681470 33.6693843, -112.0685302 33.6693246, -112.0698384 33.6692260)",58,,,,,auto
58,9901,10000,1,249.77,1,2300,120,motorway,1,"LINESTRING (-112.0735430 33.6687291, -112.0732927 33.6686777, -112.0730647 33.6686803, -112.0725890 33.6686858, -112.0720295 33.6686721, -112.0715302 33.6686417, -112.0708611 33.6685861)",59,,,,,auto
59,10102,10200,1,144.33,2,2300,120,motorway,1,"LINESTRING (-112.0814635 33.6681243, -112.0811333 33.6681929, -112.0804975 33.6682708, -112.0799299 33.6683427)",60,,,,,auto
60,10302,10400,1,203.18,1,2300,120,motorway,1,"LINESTRING (-112.0766309 33.6689366, -112.0767063 33.6689693, -112.0768082 33.6690185, -112.0779760 33.6690418, -112.0787959 33.6690759)",61,,,,,auto
61,1200,10500,1,150.45,2,2300,120,motorway,1,"LINESTRING (-112.0842619 33.6691702, -112.0846723 33.6691382, -112.0850459 33.6691412, -112.0854195 33.6691442, -112.0858826 33.6691597)",62,,,,,auto
62,10602,10700,1,409.38,2,2300,120,motorway,1,"LINESTRING (-112.0898960 33.6691853, -112.0896831 33.6691090, -112.0895362 33.6690561, -112.0886276 33.6689203, -112.0872458 33.6687060, -112.0855812 33.6684346)",63,,,,,auto
63,10802,10900,1,545.63,1,2300,120,motorway,1,"LINESTRING (-112.0916930 33.6695995, -112.0919563 33.6696895, -112.0932701 33.6698064, -112.0941863 33.6698785, -112.0960241 33.6700167, -112.0966727 33.6700393, -112.0970189 33.6700463, -112.0973341 33.6700461, -112.0975381 33.6700459)",64,,,,,auto
64,11002,11100,1,134.72,2,2300,120,motorway,1,"LINESTRING (-112.0980619 33.6691523, -112.0980056 33.6691667, -112.0979455 33.6691762, -112.0978838 33.6691814, -112.0973040 33.6692271, -112.0969683 33.6692539, -112.0966179 33.6692783)",65,,,,,auto
65,11202,11300,1,92.43,2,2300,120,motorway,1,"LINESTRING (-112.1137115 33.6679407, -112.1133530 33.6680770, -112.1130603 33.6681296, -112.1127659 33.6681923)",66,,,,,auto
