link_id,from_node_id,to_node_id,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,geometry,macro_link_id,macro_node_id,movement_id,mvmt_txt_id,ctrl_type,allowed_uses
857,110301,280300,1,44.79,4,1600,72,secondary,4,"LINESTRING (-112.0647625 33.6376967, -112.0652455 33.6376938)",878,,,,,auto
858,110001,109301,1,49.34,3,1600,72,secondary,4,"LINESTRING (-112.0633384 33.6377074, -112.0638704 33.6377021)",879,,,,,auto
859,110501,108801,1,27.63,4,1600,72,secondary,4,"LINESTRING (-112.0636579 33.6375404, -112.0634352 33.6375414, -112.0633599 33.6375420)",880,,,,,auto
860,280301,110501,1,149.61,3,1600,72,secondary,4,"LINESTRING (-112.0652711 33.6375330, -112.0648540 33.6375346, -112.0636579 33.6375404)",881,,,,,auto
861,110601,110700,1,38.1,4,1600,72,secondary,4,"LINESTRING (-112.0684004 33.6371976, -112.0682603 33.6372335, -112.0680056 33.6372925)",882,,,,,auto
862,109700,110800,1,141.96,3,1600,72,secondary,4,"LINESTRING (-112.0712400 33.6358008, -112.0706162 33.6362080, -112.0702469 33.6364269, -112.0700096 33.6365618)",883,,,,,auto
863,110901,280302,1,59.61,4,1600,72,secondary,4,"LINESTRING (-112.0664286 33.6375102, -112.0660119 33.6375230, -112.0657862 33.6375236)",884,,,,,auto
864,110800,111000,1,26.49,4,1600,60,secondary,4,"LINESTRING (-112.0700096 33.6365618, -112.0699579 33.6365912, -112.0697677 33.6366888)",885,,,,,auto
865,111101,108401,1,45.78,4,1600,72,secondary,4,"LINESTRING (-112.0691093 33.6371441, -112.0693307 33.6370662, -112.0695562 33.6369695)",886,,,,,auto
866,110200,111101,1,104.13,3,1600,72,secondary,4,"LINESTRING (-112.0680506 33.6374535, -112.0683215 33.6373863, -112.0686757 33.6372948, -112.0690193 33.6371758, -112.0691093 33.6371441)",887,,,,,auto
867,110700,110901,1,148.6,3,1600,72,secondary,4,"LINESTRING (-112.0680056 33.6372925, -112.0678707 33.6373237, -112.0674036 33.6374153, -112.0669365 33.6374796, -112.0664286 33.6375102)",888,,,,,auto
868,111001,110601,1,109.07,3,1600,72,secondary,4,"LINESTRING (-112.0694827 33.6368165, -112.0692514 33.6369140, -112.0691780 33.6369416, -112.0689768 33.6370183, -112.0686360 33.6371355, -112.0685538 33.6371582, -112.0684004 33.6371976)",889,,,,,auto
869,111201,110101,1,115.27,3,1600,72,secondary,4,"LINESTRING (-112.0664222 33.6376744, -112.0665077 33.6376707, -112.0669596 33.6376419, -112.0674191 33.6375744, -112.0676519 33.6375346)",890,,,,,auto
870,111300,111400,1,520.26,3,1800,72,primary,3,"LINESTRING (-112.0654840 33.6422107, -112.0654840 33.6422147, -112.0654907 33.6430329, -112.0654954 33.6439604, -112.0654963 33.6442727, -112.0654958 33.6445771, -112.0654956 33.6446097, -112.0654967 33.6448547, -112.0655014 33.6456492, -112.0655007 33.6458608, -112.0655070 33.6464774, -112.0655082 33.6469031)",891,,,,,auto
871,111401,111301,1,520.34,3,1800,72,primary,3,"LINESTRING (-112.0656591 33.6469028, -112.0656580 33.6464768, -112.0656517 33.6458604, -112.0656524 33.6456490, -112.0656477 33.6448541, -112.0656466 33.6446097, -112.0656468 33.6445775, -112.0656473 33.6442727, -112.0656464 33.6439600, -112.0656417 33.6430322, -112.0656350 33.6422137, -112.0656349 33.6422097)",892,,,,,auto
872,111501,111600,1,35.31,4,1800,64,primary,3,"LINESTRING (-112.0656069 33.6364324, -112.0656074 33.6361139)",893,,,,,auto
873,111701,111800,1,57.37,3,1800,64,primary,3,"LINESTRING (-112.0656040 33.6355437, -112.0655988 33.6350263)",894,,,,,auto
874,111901,112000,1,8.37,5,1800,80,primary,3,"LINESTRING (-112.0656191 33.6384772, -112.0656177 33.6384017)",895,,,,,auto
875,112100,112200,1,12.64,3,1800,64,primary,3,"LINESTRING (-112.0654422 33.6350263, -112.0654412 33.6351403)",896,,,,,auto
876,112300,111302,1,10.76,3,1800,72,primary,3,"LINESTRING (-112.0654804 33.6418611, -112.0654814 33.6419582)",897,,,,,auto
877,111303,112301,1,6.76,4,1800,72,primary,3,"LINESTRING (-112.0656511 33.6419389, -112.0656504 33.6418779)",898,,,,,auto
878,112401,37201,1,33.98,5,1800,64,primary,3,"LINESTRING (-112.0654330 33.6367323, -112.0654310 33.6370388)",899,,,,,auto
879,85600,112500,1,28.05,4,1800,80,primary,3,"LINESTRING (-112.0656254 33.6397662, -112.0656250 33.6397045, -112.0656240 33.6395132)",900,,,,,auto
880,112601,112302,1,11.61,5,1800,72,primary,3,"LINESTRING (-112.0654671 33.6414774, -112.0655014 33.6415781)",901,,,,,auto
881,112200,112700,1,44.66,4,1800,64,primary,3,"LINESTRING (-112.0654412 33.6351403, -112.0654348 33.6355431)",902,,,,,auto
882,111600,111701,1,63.22,4,1800,64,primary,3,"LINESTRING (-112.0656074 33.6361139, -112.0656060 33.6359894, -112.0656040 33.6355437)",903,,,,,auto
883,112700,112401,1,131.86,3,1800,64,primary,3,"LINESTRING (-112.0654348 33.6355431, -112.0654320 33.6358294, -112.0654270 33.6361123, -112.0654330 33.6367323)",904,,,,,auto
884,112000,280303,1,58.72,6,1800,80,primary,3,"LINESTRING (-112.0656177 33.6384017, -112.0656159 33.6378721)",905,,,,,auto
885,37100,112601,1,47.65,4,1800,72,primary,3,"LINESTRING (-112.0654399 33.6410502, -112.0654456 33.6414144, -112.0654671 33.6414774)",906,,,,,auto
886,112500,111901,1,114.86,3,1800,80,primary,3,"LINESTRING (-112.0656240 33.6395132, -112.0656191 33.6384772)",907,,,,,auto
887,112303,112900,1,52.98,3,1800,72,primary,3,"LINESTRING (-112.0655856 33.6416107, -112.0656356 33.6414115, -112.0656319 33.6411372)",908,,,,,auto
888,111402,113000,1,26.72,4,1800,72,primary,3,"LINESTRING (-112.0654889 33.6471732, -112.0654876 33.6474142)",909,,,,,auto
889,113001,111403,1,30.75,3,1800,72,primary,3,"LINESTRING (-112.0656574 33.6474331, -112.0656588 33.6471558)",910,,,,,auto
890,112900,276806,1,66.08,5,1800,72,primary,3,"LINESTRING (-112.0656319 33.6411372, -112.0656332 33.6405412)",911,,,,,auto
891,113002,85302,1,31.83,3,1800,72,primary,3,"LINESTRING (-112.0655060 33.6476855, -112.0655068 33.6479726)",912,,,,,auto
892,85303,113003,1,27.85,4,1800,72,primary,3,"LINESTRING (-112.0656766 33.6479542, -112.0656759 33.6477030)",913,,,,,auto
893,57400,111501,1,67.3,3,1800,64,primary,3,"LINESTRING (-112.0656096 33.6370394, -112.0656051 33.6367553, -112.0656069 33.6364324)",914,,,,,auto
894,37300,280304,1,12.98,5,1800,80,primary,3,"LINESTRING (-112.0654267 33.6372507, -112.0654248 33.6373678)",915,,,,,auto
895,113101,276807,1,74.09,5,1800,72,primary,3,"LINESTRING (-112.0654272 33.6393883, -112.0654328 33.6400565)",916,,,,,auto
896,280305,57301,1,16.15,3,1800,80,primary,3,"LINESTRING (-112.0656138 33.6374005, -112.0656140 33.6372549)",917,,,,,auto
897,280306,113101,1,174.04,3,1800,80,primary,3,"LINESTRING (-112.0654169 33.6378186, -112.0654186 33.6379986, -112.0654210 33.6382376, -112.0654219 33.6383305, -112.0654246 33.6386102, -112.0654274 33.6392338, -112.0654272 33.6393883)",918,,,,,auto
898,113201,113300,1,59.67,3,1800,64,primary,3,"LINESTRING (-112.0794305 33.6403084, -112.0800739 33.6403017)",919,,,,,auto
899,113300,113400,1,12.86,4,1800,64,primary,3,"LINESTRING (-112.0800739 33.6403017, -112.0802126 33.6403002)",920,,,,,auto
900,113501,113600,1,38.12,4,1800,64,primary,3,"LINESTRING (-112.0749581 33.6403342, -112.0753692 33.6403334)",921,,,,,auto
901,45100,113700,1,39.71,4,1800,64,primary,3,"LINESTRING (-112.0811010 33.6401403, -112.0806728 33.6401420)",922,,,,,auto
902,113801,113900,1,56.98,4,1800,64,primary,3,"LINESTRING (-112.0791055 33.6401482, -112.0784910 33.6401506)",923,,,,,auto
903,114001,113201,1,28.76,4,1800,64,primary,3,"LINESTRING (-112.0791205 33.6403116, -112.0791359 33.6403115, -112.0794305 33.6403084)",924,,,,,auto
904,114101,114001,1,58.18,3,1800,64,primary,3,"LINESTRING (-112.0784931 33.6403181, -112.0791205 33.6403116)",925,,,,,auto
905,114201,114101,1,98.32,4,1800,64,primary,3,"LINESTRING (-112.0774329 33.6403226, -112.0784931 33.6403181)",926,,,,,auto
906,114301,114400,1,45.42,4,1800,64,primary,3,"LINESTRING (-112.0777642 33.6401548, -112.0772744 33.6401577)",927,,,,,auto
907,114501,114600,1,49.2,4,1800,64,primary,3,"LINESTRING (-112.0757292 33.6403292, -112.0762597 33.6403236)",928,,,,,auto
908,113900,114301,1,67.41,3,1800,64,primary,3,"LINESTRING (-112.0784910 33.6401506, -112.0780928 33.6401535, -112.0777642 33.6401548)",929,,,,,auto
909,113400,114700,1,43.17,5,1800,64,primary,3,"LINESTRING (-112.0802126 33.6403002, -112.0806781 33.6402954)",930,,,,,auto
910,114600,114201,1,108.8,3,1800,64,primary,3,"LINESTRING (-112.0762597 33.6403236, -112.0764150 33.6403224, -112.0772729 33.6403219, -112.0774329 33.6403226)",931,,,,,auto
911,114801,114900,1,44.45,4,1800,64,primary,3,"LINESTRING (-112.0801627 33.6401440, -112.0796835 33.6401459)",932,,,,,auto
912,114700,801,1,114.78,3,1800,64,primary,3,"LINESTRING (-112.0806781 33.6402954, -112.0816815 33.6403005, -112.0819158 33.6402995)",933,,,,,auto
913,114400,115000,1,52.25,3,1800,64,primary,3,"LINESTRING (-112.0772744 33.6401577, -112.0767110 33.6401633)",934,,,,,auto
914,113600,114501,1,33.39,3,1800,64,primary,3,"LINESTRING (-112.0753692 33.6403334, -112.0757292 33.6403292)",935,,,,,auto
915,77901,113501,1,57.98,3,1800,64,primary,3,"LINESTRING (-112.0743330 33.6403410, -112.0744578 33.6403396, -112.0745790 33.6403383, -112.0749581 33.6403342)",936,,,,,auto
916,276302,44501,1,104.35,3,1800,64,primary,3,"LINESTRING (-112.0830040 33.6402939, -112.0830102 33.6402938, -112.0834057 33.6402903, -112.0835692 33.6402889, -112.0841290 33.6402761)",937,,,,,auto
917,115101,55401,1,40.55,4,1800,64,primary,3,"LINESTRING (-112.0747908 33.6401754, -112.0743535 33.6401769)",938,,,,,auto
918,105902,107901,1,2.25,1,1800,80,primary,3,"LINESTRING (-112.0729454 33.6402748, -112.0729447 33.6402545)",939,,,,,auto
919,107902,105903,1,2.25,1,1800,80,primary,3,"LINESTRING (-112.0728693 33.6402563, -112.0728700 33.6402766)",940,,,,,auto
920,108802,110002,1,2.36,1,1600,60,secondary,4,"LINESTRING (-112.0631497 33.6376155, -112.0631497 33.6376367)",941,,,,,auto
921,110003,108803,1,2.36,1,1600,60,secondary,4,"LINESTRING (-112.0632251 33.6376367, -112.0632251 33.6376155)",942,,,,,auto
922,115200,115300,1,9.08,4,1800,80,primary,3,"LINESTRING (-112.0996379 33.6415846, -112.0996415 33.6416664)",943,,,,,auto
923,115301,115201,1,9.06,4,1800,80,primary,3,"LINESTRING (-112.0998300 33.6416606, -112.0998265 33.6415789)",944,,,,,auto
924,115400,115500,1,6.14,3,1800,80,primary,3,"LINESTRING (-112.0996339 33.6369796, -112.0996337 33.6370350)",945,,,,,auto
925,115501,115401,1,6.14,4,1800,80,primary,3,"LINESTRING (-112.0998035 33.6370355, -112.0998038 33.6369801)",946,,,,,auto
926,115600,115700,1,5.17,4,1800,80,primary,3,"LINESTRING (-112.0996188 33.6359583, -112.0996182 33.6360050)",947,,,,,auto
927,115701,115601,1,4.88,2,1800,80,primary,3,"LINESTRING (-112.0997692 33.6360037, -112.0997697 33.6359597)",948,,,,,auto
928,116000,115402,1,19.03,3,1800,80,primary,3,"LINESTRING (-112.0996352 33.6366096, -112.0996352 33.6366236, -112.0996347 33.6367812)",951,,,,,auto
929,115403,116001,1,11.06,5,1800,80,primary,3,"LINESTRING (-112.0998235 33.6367456, -112.0998238 33.6366459)",952,,,,,auto
930,116100,115202,1,14.96,3,1800,80,primary,3,"LINESTRING (-112.0996466 33.6411771, -112.0996484 33.6412989, -112.0996486 33.6413121)",953,,,,,auto
931,115203,116101,1,14.95,3,1800,80,primary,3,"LINESTRING (-112.0997996 33.6413104, -112.0997994 33.6412973, -112.0997976 33.6411756)",954,,,,,auto
932,115702,116002,1,13.12,4,1800,80,primary,3,"LINESTRING (-112.0996181 33.6362203, -112.0996175 33.6363386)",955,,,,,auto
933,116003,115703,1,17.15,3,1800,80,primary,3,"LINESTRING (-112.0997873 33.6363575, -112.0997880 33.6362028)",956,,,,,auto
934,116200,116300,1,484.03,3,1800,72,primary,3,"LINESTRING (-112.0996701 33.6423535, -112.0996706 33.6424545, -112.0996719 33.6427752, -112.0996721 33.6428142, -112.0996724 33.6428923, -112.0996731 33.6430827, -112.0996739 33.6432667, -112.0996739 33.6434097, -112.0996752 33.6435961, -112.0996770 33.6436757, -112.0996765 33.6437787, -112.0996773 33.6438535, -112.0996766 33.6438941, -112.0996779 33.6446071, -112.0996781 33.6446621, -112.0996716 33.6452012, -112.0996696 33.6454532, -112.0996685 33.6455542, -112.0996678 33.6456202, -112.0996658 33.6458088, -112.0996629 33.6460777, -112.0996620 33.6461707, -112.0996605 33.6463073, -112.0996585 33.6464917, -112.0996585 33.6465621, -112.0996585 33.6467191)",957,,,,,auto
935,116301,116201,1,488.08,2,1800,72,primary,3,"LINESTRING (-112.0997906 33.6467372, -112.0997906 33.6465621, -112.0997906 33.6464922, -112.0997926 33.6463083, -112.0997941 33.6461716, -112.0997950 33.6460786, -112.0997979 33.6458098, -112.0997999 33.6456212, -112.0998006 33.6455552, -112.0998017 33.6454541, -112.0998037 33.6452021, -112.0998102 33.6446625, -112.0998100 33.6446069, -112.0998087 33.6438948, -112.0998094 33.6438538, -112.0998086 33.6437784, -112.0998091 33.6436748, -112.0998073 33.6435947, -112.0998060 33.6434094, -112.0998060 33.6432665, -112.0998052 33.6430823, -112.0998045 33.6428919, -112.0998042 33.6428138, -112.0998040 33.6427747, -112.0998027 33.6424541, -112.0998021 33.6423351)",958,,,,,auto
936,280400,116400,1,4.33,3,1800,80,primary,3,"LINESTRING (-112.0996291 33.6403425, -112.0996308 33.6403815)",959,,,,,auto
937,116401,280401,1,3.89,4,1800,80,primary,3,"LINESTRING (-112.0998005 33.6403763, -112.0997990 33.6403412)",960,,,,,auto
938,116500,280402,1,25.25,4,1800,80,primary,3,"LINESTRING (-112.0996050 33.6396889, -112.0996045 33.6398093, -112.0996042 33.6399166)",961,,,,,auto
939,280403,116501,1,29.1,3,1800,80,primary,3,"LINESTRING (-112.0997739 33.6399337, -112.0997744 33.6398097, -112.0997749 33.6396712)",962,,,,,auto
940,115502,116600,1,206.38,3,1800,80,primary,3,"LINESTRING (-112.0996331 33.6372335, -112.0996315 33.6378529, -112.0996291 33.6382284, -112.0996289 33.6383140, -112.0996287 33.6383904, -112.0996270 33.6388294, -112.0996271 33.6390083, -112.0996263 33.6390950)",963,,,,,auto
941,116601,115503,1,206.38,3,1800,80,primary,3,"LINESTRING (-112.0997773 33.6390953, -112.0997781 33.6390087, -112.0997780 33.6388296, -112.0997797 33.6383908, -112.0997799 33.6383142, -112.0997801 33.6382288, -112.0997825 33.6378533, -112.0997841 33.6372338)",964,,,,,auto
942,116700,116800,1,486.97,3,1600,56,secondary,4,"LINESTRING (-112.0829296 33.6394173, -112.0829294 33.6393006, -112.0829281 33.6385975, -112.0829258 33.6383942, -112.0829204 33.6379084, -112.0829217 33.6377975, -112.0829226 33.6370063, -112.0829233 33.6358545, -112.0829265 33.6350252)",965,,,,,auto
943,116801,116701,1,486.75,3,1600,56,secondary,4,"LINESTRING (-112.0827755 33.6350273, -112.0827723 33.6358543, -112.0827716 33.6370063, -112.0827707 33.6377969, -112.0827694 33.6379084, -112.0827748 33.6383954, -112.0827771 33.6385981, -112.0827784 33.6393008, -112.0827786 33.6394175)",966,,,,,auto
944,116900,117000,1,33.28,2,1600,64,secondary,4,"LINESTRING (-112.0828772 33.6473176, -112.0828772 33.6473174, -112.0828806 33.6470175)",967,,,,,auto
945,117001,116901,1,29.15,3,1600,64,secondary,4,"LINESTRING (-112.0827483 33.6470345, -112.0827453 33.6472974)",968,,,,,auto
946,117100,116902,1,21.86,3,1600,64,secondary,4,"LINESTRING (-112.0828914 33.6477492, -112.0828919 33.6475520)",969,,,,,auto
947,116903,117101,1,26.0,2,1600,64,secondary,4,"LINESTRING (-112.0827599 33.6475325, -112.0827593 33.6477670)",970,,,,,auto
948,117200,276303,1,46.27,3,1600,64,secondary,4,"LINESTRING (-112.0829294 33.6408394, -112.0829286 33.6405882, -112.0829276 33.6404220)",973,,,,,auto
949,276304,117201,1,50.39,2,1600,64,secondary,4,"LINESTRING (-112.0827954 33.6404032, -112.0827965 33.6405886, -112.0827973 33.6408576)",974,,,,,auto
950,276305,116702,1,41.39,2,1600,56,secondary,4,"LINESTRING (-112.0829115 33.6400252, -112.0829116 33.6400089, -112.0829111 33.6396640, -112.0829111 33.6396519)",975,,,,,auto
951,116703,276306,1,37.29,3,1600,56,secondary,4,"LINESTRING (-112.0827790 33.6396701, -112.0827795 33.6400064)",976,,,,,auto
952,117002,57002,1,250.29,2,1600,64,secondary,4,"LINESTRING (-112.0828829 33.6468010, -112.0828960 33.6454968, -112.0829015 33.6446384, -112.0829024 33.6445436)",977,,,,,auto
953,57003,117003,1,250.28,2,1600,64,secondary,4,"LINESTRING (-112.0827891 33.6445429, -112.0827883 33.6446378, -112.0827828 33.6454962, -112.0827697 33.6468002)",978,,,,,auto
954,117301,117400,1,13.18,3,1800,80,primary,3,"LINESTRING (-112.0886243 33.6402703, -112.0887664 33.6402696)",979,,,,,auto
955,117501,117600,1,40.41,4,1800,80,primary,3,"LINESTRING (-112.0987979 33.6400635, -112.0987784 33.6400635, -112.0983621 33.6400648)",980,,,,,auto
956,117701,117800,1,53.13,4,1800,80,primary,3,"LINESTRING (-112.0865591 33.6402786, -112.0871319 33.6402776)",981,,,,,auto
957,117901,118000,1,85.95,3,1800,80,primary,3,"LINESTRING (-112.0886236 33.6401029, -112.0882163 33.6401046, -112.0877740 33.6401065, -112.0876968 33.6401068)",982,,,,,auto
958,44600,118100,1,36.94,3,1800,80,primary,3,"LINESTRING (-112.0844892 33.6402793, -112.0848876 33.6402773)",983,,,,,auto
959,118201,118300,1,3.1,4,1800,80,primary,3,"LINESTRING (-112.0969475 33.6400739, -112.0969140 33.6400739)",984,,,,,auto
960,118401,118500,1,29.25,4,1800,80,primary,3,"LINESTRING (-112.1016151 33.6402069, -112.1019305 33.6402034)",985,,,,,auto
961,118601,117901,1,50.13,4,1800,80,primary,3,"LINESTRING (-112.0891642 33.6401006, -112.0886236 33.6401029)",986,,,,,auto
962,118701,118800,1,31.29,4,1800,64,primary,3,"LINESTRING (-112.0922703 33.6402531, -112.0926077 33.6402515)",987,,,,,auto
963,117601,118900,1,10.82,3,1800,80,primary,3,"LINESTRING (-112.0980386 33.6400647, -112.0979220 33.6400641)",988,,,,,auto
964,118301,119000,1,35.68,3,1800,80,primary,3,"LINESTRING (-112.0966094 33.6400745, -112.0962247 33.6400757)",989,,,,,auto
965,119101,119200,1,27.93,5,1800,80,primary,3,"LINESTRING (-112.0850980 33.6402798, -112.0853992 33.6402833)",990,,,,,auto
966,119301,119400,1,49.58,4,1800,80,primary,3,"LINESTRING (-112.0926093 33.6400903, -112.0920748 33.6400949)",991,,,,,auto
967,119400,119500,1,7.16,4,1800,80,primary,3,"LINESTRING (-112.0920748 33.6400949, -112.0919976 33.6400956)",992,,,,,auto
968,119601,119700,1,49.98,4,1800,80,primary,3,"LINESTRING (-112.1019699 33.6400332, -112.1014310 33.6400401)",993,,,,,auto
969,118900,119800,1,26.66,4,1800,80,primary,3,"LINESTRING (-112.0979220 33.6400641, -112.0976345 33.6400682)",994,,,,,auto
970,119900,118201,1,2.9,3,1800,80,primary,3,"LINESTRING (-112.0969788 33.6400737, -112.0969475 33.6400739)",995,,,,,auto
971,120001,120100,1,117.11,3,1800,80,primary,3,"LINESTRING (-112.0871246 33.6401094, -112.0866790 33.6401135, -112.0858618 33.6401211)",996,,,,,auto
972,120201,120300,1,44.3,4,1800,64,primary,3,"LINESTRING (-112.0935777 33.6402474, -112.0940470 33.6402455, -112.0940554 33.6402455)",997,,,,,auto
973,119801,120400,1,2.9,3,1800,80,primary,3,"LINESTRING (-112.0974058 33.6400710, -112.0973746 33.6400714)",998,,,,,auto
974,120400,119901,1,10.06,4,1800,80,primary,3,"LINESTRING (-112.0973746 33.6400714, -112.0972661 33.6400720)",999,,,,,auto
975,118000,120001,1,53.06,4,1800,80,primary,3,"LINESTRING (-112.0876968 33.6401068, -112.0871246 33.6401094)",1000,,,,,auto
976,120501,120600,1,69.97,4,1800,80,primary,3,"LINESTRING (-112.0900712 33.6401025, -112.0893674 33.6401002, -112.0893167 33.6401000)",1001,,,,,auto
977,120701,120800,1,21.83,5,1800,80,primary,3,"LINESTRING (-112.1025322 33.6400260, -112.1022969 33.6400290)",1002,,,,,auto
978,120901,121000,1,25.66,3,1800,64,primary,3,"LINESTRING (-112.0961730 33.6402375, -112.0962752 33.6402369, -112.0964497 33.6402358)",1003,,,,,auto
979,120100,121100,1,42.84,4,1800,80,primary,3,"LINESTRING (-112.0858618 33.6401211, -112.0853998 33.6401255)",1004,,,,,auto
980,121201,121300,1,55.06,4,1800,80,primary,3,"LINESTRING (-112.1011287 33.6400430, -112.1005350 33.6400476)",1005,,,,,auto
981,121401,121500,1,47.19,4,1800,80,primary,3,"LINESTRING (-112.0949086 33.6400811, -112.0943997 33.6400858)",1006,,,,,auto
982,120600,118601,1,14.14,3,1800,80,primary,3,"LINESTRING (-112.0893167 33.6401000, -112.0891642 33.6401006)",1007,,,,,auto
983,120301,121600,1,60.66,3,1800,80,primary,3,"LINESTRING (-112.0943789 33.6402441, -112.0944346 33.6402439, -112.0946357 33.6402432, -112.0947877 33.6402426, -112.0950330 33.6402417)",1008,,,,,auto
984,120801,119601,1,2.9,5,1800,80,primary,3,"LINESTRING (-112.1020011 33.6400328, -112.1019699 33.6400332)",1009,,,,,auto
985,121701,119301,1,37.34,4,1800,80,primary,3,"LINESTRING (-112.0930120 33.6400887, -112.0926093 33.6400903)",1010,,,,,auto
986,118100,119101,1,19.52,4,1800,80,primary,3,"LINESTRING (-112.0848876 33.6402773, -112.0850980 33.6402798)",1011,,,,,auto
987,45900,121800,1,32.44,3,1800,80,primary,3,"LINESTRING (-112.0841693 33.6401416, -112.0838195 33.6401362)",1012,,,,,auto
988,121501,121701,1,98.69,3,1800,80,primary,3,"LINESTRING (-112.0940762 33.6400878, -112.0936343 33.6400891, -112.0930120 33.6400887)",1013,,,,,auto
989,280404,121900,1,15.61,3,1800,80,primary,3,"LINESTRING (-112.0995480 33.6400610, -112.0995193 33.6400611, -112.0993797 33.6400616)",1014,,,,,auto
990,122001,122100,1,103.83,3,1800,80,primary,3,"LINESTRING (-112.0893152 33.6402669, -112.0901066 33.6402631, -112.0904348 33.6402615)",1015,,,,,auto
991,117400,122001,1,50.89,4,1800,80,primary,3,"LINESTRING (-112.0887664 33.6402696, -112.0888748 33.6402691, -112.0893152 33.6402669)",1016,,,,,auto
992,118800,120201,1,89.95,3,1800,64,primary,3,"LINESTRING (-112.0926077 33.6402515, -112.0935271 33.6402476, -112.0935777 33.6402474)",1017,,,,,auto
993,122201,280405,1,78.87,5,1800,80,primary,3,"LINESTRING (-112.0986575 33.6402251, -112.0995080 33.6402192)",1018,,,,,auto
994,122301,117301,1,43.74,4,1800,80,primary,3,"LINESTRING (-112.0881527 33.6402724, -112.0882180 33.6402721, -112.0886243 33.6402703)",1019,,,,,auto
995,122401,122500,1,20.7,4,1800,80,primary,3,"LINESTRING (-112.1005779 33.6402153, -112.1007505 33.6402148, -112.1008011 33.6402146)",1020,,,,,auto
996,122500,122600,1,29.36,4,1800,80,primary,3,"LINESTRING (-112.1008011 33.6402146, -112.1011177 33.6402119)",1021,,,,,auto
997,122701,122201,1,49.88,3,1800,80,primary,3,"LINESTRING (-112.0981197 33.6402290, -112.0984474 33.6402268, -112.0986575 33.6402251)",1022,,,,,auto
998,117800,122301,1,94.66,3,1800,80,primary,3,"LINESTRING (-112.0871319 33.6402776, -112.0876010 33.6402751, -112.0877874 33.6402740, -112.0881527 33.6402724)",1023,,,,,auto
999,119000,122800,1,26.07,4,1800,80,primary,3,"LINESTRING (-112.0962247 33.6400757, -112.0959436 33.6400762)",1024,,,,,auto
1000,122901,123000,1,56.66,4,1800,80,primary,3,"LINESTRING (-112.1034499 33.6401641, -112.1035541 33.6401626, -112.1040608 33.6401551)",1025,,,,,auto
1001,121100,45801,1,80.62,3,1800,80,primary,3,"LINESTRING (-112.0853998 33.6401255, -112.0847087 33.6401405, -112.0845308 33.6401425)",1026,,,,,auto
1002,119200,117701,1,107.57,3,1800,80,primary,3,"LINESTRING (-112.0853992 33.6402833, -112.0860604 33.6402795, -112.0865591 33.6402786)",1027,,,,,auto
1003,121600,123100,1,52.57,4,1800,64,primary,3,"LINESTRING (-112.0950330 33.6402417, -112.0955999 33.6402399)",1028,,,,,auto
1004,123201,123300,1,14.17,4,1800,80,primary,3,"LINESTRING (-112.0917903 33.6400962, -112.0916440 33.6400969, -112.0916375 33.6400969)",1029,,,,,auto
1005,123301,123401,1,8.33,3,1800,80,primary,3,"LINESTRING (-112.0913140 33.6400987, -112.0912814 33.6400989, -112.0912242 33.6400991)",1030,,,,,auto
1006,123401,120501,1,106.93,3,1800,80,primary,3,"LINESTRING (-112.0912242 33.6400991, -112.0909983 33.6400998, -112.0900712 33.6401025)",1031,,,,,auto
1007,121800,276307,1,71.54,5,1800,80,primary,3,"LINESTRING (-112.0838195 33.6401362, -112.0835062 33.6401348, -112.0830481 33.6401327)",1032,,,,,auto
1008,123101,120901,1,23.15,3,1800,64,primary,3,"LINESTRING (-112.0959234 33.6402390, -112.0961625 33.6402375, -112.0961730 33.6402375)",1033,,,,,auto
1009,122801,121401,1,65.98,3,1800,80,primary,3,"LINESTRING (-112.0956200 33.6400778, -112.0953035 33.6400804, -112.0950483 33.6400805, -112.0949086 33.6400811)",1034,,,,,auto
1010,119700,123500,1,3.1,4,1800,80,primary,3,"LINESTRING (-112.1014310 33.6400401, -112.1013976 33.6400402)",1035,,,,,auto
1011,123501,121201,1,2.9,4,1800,80,primary,3,"LINESTRING (-112.1011600 33.6400426, -112.1011287 33.6400430)",1036,,,,,auto
1012,118501,122901,1,110.98,3,1800,80,primary,3,"LINESTRING (-112.1022538 33.6401962, -112.1029923 33.6401796, -112.1034499 33.6401641)",1037,,,,,auto
1013,123600,122701,1,47.11,3,1800,80,primary,3,"LINESTRING (-112.0976117 33.6402309, -112.0976373 33.6402307, -112.0979342 33.6402296, -112.0981197 33.6402290)",1038,,,,,auto
1014,123700,123801,1,10.36,3,1800,64,primary,3,"LINESTRING (-112.0915954 33.6402585, -112.0916487 33.6402575, -112.0917072 33.6402571)",1039,,,,,auto
1015,123801,123900,1,41.1,3,1800,64,primary,3,"LINESTRING (-112.0917072 33.6402571, -112.0918312 33.6402563, -112.0919750 33.6402554, -112.0920996 33.6402546, -112.0921504 33.6402541)",1040,,,,,auto
1016,280406,122401,1,67.23,3,1800,80,primary,3,"LINESTRING (-112.0998530 33.6402158, -112.0999040 33.6402159, -112.1002860 33.6402162, -112.1005150 33.6402155, -112.1005779 33.6402153)",1041,,,,,auto
1017,124000,124100,1,2.72,3,1800,64,primary,3,"LINESTRING (-112.0969150 33.6402338, -112.0969443 33.6402336)",1042,,,,,auto
